provincia,municipio,poblacion
pobmun98,1574,3686
pobmun98,1575,49
pobmun98,1576,143
pobmun98,1577,33
pobmun98,1578,74
pobmun98,1579,238
pobmun98,158,43
pobmun98,1580,1000
pobmun98,1581,33
pobmun98,1582,428
pobmun98,1583,147
pobmun98,1584,1378
pobmun98,1585,317
pobmun98,1586,1066
pobmun98,1587,2478
pobmun98,1588,326
pobmun98,1589,105
pobmun98,159,5497
pobmun98,1590,103
pobmun98,1591,1012
pobmun98,1592,132
pobmun98,1593,24140
pobmun98,1594,205
pobmun98,1595,695
pobmun98,1596,49
pobmun98,1597,56
pobmun98,1598,329
pobmun98,1599,1027
pobmun98,16,189
pobmun98,160,4690
pobmun98,1600,365
pobmun98,1601,695
pobmun98,1602,84
pobmun98,1603,641
pobmun98,1604,918
pobmun98,1605,2935
pobmun98,1606,1058
pobmun98,1607,2425
pobmun98,1608,202
pobmun98,1609,17850
pobmun98,161,43
pobmun98,1610,3038
pobmun98,1611,3866
pobmun98,1612,157
pobmun98,1613,20098
pobmun98,1614,1341
pobmun98,1615,73
pobmun98,1616,1137
pobmun98,1617,191
pobmun98,1618,745
pobmun98,1619,907
pobmun98,162,682
pobmun98,1620,576
pobmun98,1621,177
pobmun98,1622,3361
pobmun98,1623,173
pobmun98,1624,338
pobmun98,1625,108
pobmun98,1626,1075
pobmun98,1627,216
pobmun98,1628,4270
pobmun98,1629,1470
pobmun98,163,392
pobmun98,1630,359
pobmun98,1631,409
pobmun98,1632,9261
pobmun98,1633,868
pobmun98,1634,20002
pobmun98,1635,1351
pobmun98,1636,89
pobmun98,1637,2214
pobmun98,1638,79
pobmun98,1639,185
pobmun98,164,113
pobmun98,1640,12499
pobmun98,1641,269
pobmun98,1642,4873
pobmun98,1643,2093
pobmun98,1644,22
pobmun98,1645,246
pobmun98,1646,569
pobmun98,1647,226
pobmun98,1648,506
pobmun98,1649,172
pobmun98,165,2266
pobmun98,1650,72208
pobmun98,1651,2544
pobmun98,1652,818
pobmun98,1653,7649
pobmun98,1654,135
pobmun98,1655,711
pobmun98,1656,475
pobmun98,1657,211
pobmun98,1658,109
